Epoch [80/100], Train Loss: 0.4374, Train Acc: 0.8477, Test Loss: 0.3086, Test Acc: 0.8987
Epoch [81/100], Train Loss: 0.4330, Train Acc: 0.8483, Test Loss: 0.3290, Test Acc: 0.8927
Epoch [82/100], Train Loss: 0.4363, Train Acc: 0.8483, Test Loss: 0.2742, Test Acc: 0.9098
Epoch [83/100], Train Loss: 0.4283, Train Acc: 0.8517, Test Loss: 0.2679, Test Acc: 0.9118
Epoch [84/100], Train Loss: 0.4310, Train Acc: 0.8504, Test Loss: 0.2945, Test Acc: 0.8993
Epoch [85/100], Train Loss: 0.4272, Train Acc: 0.8522, Test Loss: 0.2777, Test Acc: 0.9116
Epoch [86/100], Train Loss: 0.4296, Train Acc: 0.8493, Test Loss: 0.2937, Test Acc: 0.9040
Epoch [87/100], Train Loss: 0.4285, Train Acc: 0.8519, Test Loss: 0.3014, Test Acc: 0.9018
Epoch [88/100], Train Loss: 0.4343, Train Acc: 0.8487, Test Loss: 0.2842, Test Acc: 0.9099
Epoch [89/100], Train Loss: 0.4278, Train Acc: 0.8508, Test Loss: 0.3120, Test Acc: 0.8951
Epoch [90/100], Train Loss: 0.4252, Train Acc: 0.8517, Test Loss: 0.2846, Test Acc: 0.9066
Epoch [91/100], Train Loss: 0.4251, Train Acc: 0.8527, Test Loss: 0.2648, Test Acc: 0.9119
Epoch [92/100], Train Loss: 0.4193, Train Acc: 0.8532, Test Loss: 0.2983, Test Acc: 0.9042
Epoch [93/100], Train Loss: 0.4197, Train Acc: 0.8548, Test Loss: 0.2846, Test Acc: 0.9046
Epoch [94/100], Train Loss: 0.4182, Train Acc: 0.8559, Test Loss: 0.3125, Test Acc: 0.8968
Epoch [95/100], Train Loss: 0.4252, Train Acc: 0.8517, Test Loss: 0.2921, Test Acc: 0.9050
Epoch [96/100], Train Loss: 0.4249, Train Acc: 0.8517, Test Loss: 0.3538, Test Acc: 0.8904
Epoch [97/100], Train Loss: 0.4232, Train Acc: 0.8522, Test Loss: 0.3145, Test Acc: 0.8975
Epoch [98/100], Train Loss: 0.4154, Train Acc: 0.8550, Test Loss: 0.2877, Test Acc: 0.9073
Epoch [99/100], Train Loss: 0.4229, Train Acc: 0.8525, Test Loss: 0.3519, Test Acc: 0.8899
Epoch [100/100], Train Loss: 0.4165, Train Acc: 0.8568, Test Loss: 0.3414, Test Acc: 0.8959
